trip_hour,count
0,22689
1,23190
2,23098
3,24106
4,22554
5,17765
6,8182
7,5003
8,3070
9,2275
10,2229
11,3925
12,10825
13,18287
14,21062
15,18975
16,17367
17,17383
18,18031
19,17998
20,19125
21,18053
22,15069
23,18513
